,Per week,Cumulatief
Jaar,Week,Periode,Verleende schade,Verleend,Uitgekeerd,Verleende schade,Verleend,Uitgekeerd
2025,26,23-06-2025 t/m 27-06-2025,3359237,3646021,10000,1211080304,1316696412,1000000000
2025,25,16-06-2025 t/m 22-06-2025,5115840,5654293,10000,1207721067,1313050392,1000000000
2025,24,09-06-2025 t/m 15-06-2025,1688239,1838586,10000,1202605228,1307396100,1000000000
2025,23,02-06-2025 t/m 08-06-2025,6254931,6911492,10000,1200916989,1305557514,1000000000
2025,22,26-05-2025 t/m 01-06-2025,1985162,2185639,10000,1194662059,1298646023,1000000000
2025,21,19-05-2025 t/m 25-05-2025,3781592,4112660,10000,1192676898,1296460384,1000000000
2025,20,12-05-2025 t/m 18-05-2025,3564306,3865879,10000,1188895306,1292347725,1000000000
2025,19,05-05-2025 t/m 11-05-2025,3408989,3713454,10000,1185331000,1288481847,1000000000
2025,18,28-04-2025 t/m 04-05-2025,3888368,4240843,10000,1181922012,1284768393,1000000000
2025,17,21-04-2025 t/m 27-04-2025,2907541,3240846,10000,1178033645,1280527551,1000000000
2025,16,14-04-2025 t/m 20-04-2025,3705499,4045409,10000,1175126104,1277286705,1000000000
2025,15,07-04-2025 t/m 13-04-2025,3941568,4308287,10000,1171420605,1273241297,1000000000
2025,14,31-03-2025 t/m 06-04-2025,5392828,5923969,10000,1167479038,1268933010,1000000000
2025,13,24-03-2025 t/m 30-03-2025,5438685,5927902,10000,1162086211,1263009042,1000000000
2025,12,17-03-2025 t/m 23-03-2025,4046339,4434905,10000,1156647527,1257081141,1000000000
2025,11,10-03-2025 t/m 16-03-2025,2875167,3142821,10000,1152601188,1252646237,1000000000
2025,10,03-03-2025 t/m 09-03-2025,5830630,6337221,10000,1149726021,1249503416,1000000000
2025,9,24-02-2025 t/m 02-03-2025,5191230,5680154,10000,1143895392,1243166196,1000000000
2025,8,17-02-2025 t/m 23-02-2025,3915363,4221508,10000,1138704162,1237486042,1000000000
2025,7,10-02-2025 t/m 16-02-2025,3680607,4023963,10000,1134788799,1233264535,1000000000
2025,6,03-02-2025 t/m 09-02-2025,4883399,5376846,10000,1131108193,1229240572,1000000000
2025,5,27-01-2025 t/m 02-02-2025,4674879,5105707,10000,1126224794,1223863727,1000000000
2025,4,20-01-2025 t/m 26-01-2025,4389712,4822948,10000,1121549916,1218758020,1000000000
2025,3,13-01-2025 t/m 19-01-2025,4587740,5009049,10000,1117160204,1213935073,1000000000
2025,2,06-01-2025 t/m 12-01-2025,3548236,3953662,10000,1112572464,1208926025,1000000000
2025,1,30-12-2024 t/m 05-01-2025,3161481,3504234,10000,1109024229,1204972363,1000000000
2024,52,23-12-2024 t/m 29-12-2024,0,0,10000,1105862749,1201468130,1000000000
2024,51,16-12-2024 t/m 22-12-2024,2590104,2904787,10000,1105862749,1201468130,1000000000
2024,50,09-12-2024 t/m 15-12-2024,2775478,3108547,10000,1103272645,1198563344,1000000000
2024,49,02-12-2024 t/m 08-12-2024,3167030,3558439,10000,1100497167,1195454797,1000000000
2024,48,25-11-2024 t/m 01-12-2024,7812670,8755627,10000,1097330138,1191896359,1000000000
2024,47,18-11-2024 t/m 24-11-2024,583447,653876,10000,1089517468,1183140732,1000000000
2024,46,11-11-2024 t/m 17-11-2024,957674,1104060,10000,1088934022,1182486856,1000000000
2024,45,04-11-2024 t/m 10-11-2024,2462703,2734485,10000,1087976348,1181382797,1000000000
2024,44,28-10-2024 t/m 03-11-2024,3274768,3643720,10000,1085513646,1178648313,1000000000
2024,43,21-10-2024 t/m 27-10-2024,3459084,3824445,10000,1082238878,1175004593,1000000000
2024,42,14-10-2024 t/m 20-10-2024,3477006,3890284,10000,1078779795,1171180148,1000000000
2024,41,07-10-2024 t/m 13-10-2024,3324812,3732496,10000,1075302789,1167289864,1000000000
2024,40,30-09-2024 t/m 06-10-2024,3069336,3376769,10000,1071977978,1163557369,1000000000
2024,39,23-09-2024 t/m 29-09-2024,2408822,2639232,10000,1068908642,1160180601,1000000000
2024,38,16-09-2024 t/m 22-09-2024,2368902,2636490,10000,1066499820,1157541369,1000000000
2024,37,09-09-2024 t/m 15-09-2024,3050721,3355667,10000,1064130918,1154904879,1000000000
2024,36,02-09-2024 t/m 08-09-2024,2355991,2637295,10000,1061080198,1151549212,1000000000
2024,35,26-08-2024 t/m 01-09-2024,2563980,2851798,10000,1058724208,1148911918,1000000000
2024,34,19-08-2024 t/m 25-08-2024,4505068,4999441,10000,1056160228,1146060120,1000000000
2024,33,12-08-2024 t/m 18-08-2024,4725848,5284338,10000,1051655161,1141060680,1000000000
2024,32,05-08-2024 t/m 11-08-2024,6009801,6680272,10000,1046929313,1135776343,1000000000
2024,31,29-07-2024 t/m 04-08-2024,3579561,4048287,10000,1040919513,1129096071,1000000000
2024,30,22-07-2024 t/m 28-07-2024,7866986,8755693,10000,1037339952,1125047785,1000000000
2024,29,15-07-2024 t/m 21-07-2024,3943365,4441613,10000,1029472967,1116292093,1000000000
